objid,rerun,run,camcol,field,z,photoRA,photoDec,class
1.23766230673025E+018,301,3919,4,140,0.4581469,225.2600077047,35.0118141685,GALAXY
1.23766230673025E+018,301,3919,4,140,0.2251344,225.2951430422,35.1522194238,GALAXY
1.23766230673031E+018,301,3919,4,141,0.56283,225.3444986309,35.0665557735,GALAXY
1.23766219507728E+018,301,3893,4,387,0,225.1789370831,35.2876655517,GALAXY
1.23766230780399E+018,301,3919,6,140,0.6190438,225.6072317917,35.896506415,GALAXY
1.23766219615103E+018,301,3893,6,387,0.2558378,225.6315764498,36.215648259,GALAXY
1.23766219615109E+018,301,3893,6,388,0.567862,225.802356757,36.1348100486,GALAXY
1.23766230780399E+018,301,3919,6,140,0.4607736,225.6884477787,35.9283069334,GALAXY
1.23766219561415E+018,301,3893,5,387,0.194711,225.3604894692,35.7921744635,GALAXY
1.23766219561409E+018,301,3893,5,386,0.592172,225.1620257883,35.735513484,GALAXY
1.23766230780399E+018,301,3919,6,140,0.2969204,225.7280465224,35.8803305244,GALAXY
1.23766230780399E+018,301,3919,6,140,0.6812898,225.6614325651,35.804130567,GALAXY
1.23766230780399E+018,301,3919,6,140,0.2966487,225.6876348014,35.7548587769,GALAXY
1.23766219561422E+018,301,3893,5,388,0.5950907,225.582149894,35.6864125143,GALAXY
1.23766230780399E+018,301,3919,6,140,0.2541759,225.6218698091,35.7790125723,GALAXY
1.23766230726718E+018,301,3919,5,141,0.5017613,225.6342819246,35.502106964,GALAXY
1.23766219561435E+018,301,3893,5,390,0.3315762,225.7978536335,35.5508984617,GALAXY
1.23766230726731E+018,301,3919,5,143,0.5028226,225.9136692225,35.1716433351,GALAXY
1.23766230726718E+018,301,3919,5,141,0.5023156,225.5603629303,35.4057962137,GALAXY
1.23766230726718E+018,301,3919,5,141,0.5036842,225.5932103301,35.3784282524,GALAXY
1.23766230726718E+018,301,3919,5,141,0.5402723,225.7363309279,35.466695751,GALAXY
1.23766230726725E+018,301,3919,5,142,0.6209757,225.6556924605,35.3232355632,GALAXY
